,CALIBRATION,TYPE,OLD PART NUMBER(S),NEW PART NUMBER(s),Year,Body,BC Description,BC Length,Engine Size
3942,2022 DJ 6.7L PCM 68RFE UGM BUX DJ - RAM 2500 PICKUP,PCM,"53041239EA, 53220251AA, 68363277AB",53220251AB,2022,DJ,DJ - RAM 2500 PICKUP,2,6.7L
3943,2023 DJ 6.7L PCM A68RFE ETK UGM LATAM DJ - RAM 2500 PICKUP,PCM,"53041239FA, 53220351AA, 68575279AA",53220351AB,2023,DJ,DJ - RAM 2500 PICKUP,2,6.7L
3945,2021 DJ 6.7L PCM 68RFE BUX EURO III DJ - RAM 2500 PICKUP,PCM,"53041237DA, 53360141AA, 53360141AB, 68363277AA",53360141AC,2021,DJ,DJ - RAM 2500 PICKUP,2,6.7L
3946,2022 DJ 6.7L PCM 68RFE BUX DJ - RAM 2500 PICKUP,PCM,"53041237EA, 53360241AA, 68363277AB",53360241AB,2022,DJ,DJ - RAM 2500 PICKUP,2,6.7L
3947,2023 DJ 6.7L PCM A68RFE ETK LATAM BUX DJ - RAM 2500 PICKUP,PCM,"53041237FA, 53360341AA, 68575279AA",53360341AB,2023,DJ,DJ - RAM 2500 PICKUP,2,6.7L
3948,2021 DJ 6.7L PCM 68RFE EURO V DJ - RAM 2500 PICKUP,PCM,"53041238DA, 54360161AA, 54360161AB, 68363277AA",54360161AC,2021,DJ,DJ - RAM 2500 PICKUP,2,6.7L
3949,2022 DJ 6.7L PCM 68RFE EURO V DJ - RAM 2500 PICKUP,PCM,"53041238EA, 54360261AA, 68363277AA, 68363277AB",54360261AB,2022,DJ,DJ - RAM 2500 PICKUP,2,6.7L
3950,2007.5 DH 6.7L CUMMINS MAN 50S 2500 DR - RAM 1500 PICKUP,ECM,"05179028AB, 05179028AC, 05179028AD, 05179028AE, 10525500BT, 10525510BT, 55350100AO, 55350100AP, 55350100AQ, 55350100AR, 55350100AT, 55350110AO, 55350110AP, 55350110AQ, 55350110AR, 55350110AT, 55350230AU, 55350230AV, 55350230AW, 55350230AX, 55350230AY, 55350430AZ, 55350430BA, 55350430BD, 55350430BE, 55350430BF, 55351100AT, 55351110AT, 55351230AU, 55351230AV, 55351230AW, 55351230AX, 55351230AY, 55351430AZ, 55351430BA, 55351430BD, 55351430BE, 55351430BF, 55351430BH",55350430BH,2007,DR,DR - RAM 1500 PICKUP,2,6.7L
3951,2007.5 DH 6.7L CUMMINS MAN 50S 2500,ECM,,55350430BH,2007,,,0,6.7L
3953,2007.5 DH 6.7L CUMMINS AUTO 50S 2500 DR - RAM 1500 PICKUP,ECM,"05179028AB, 05179028AC, 05179028AD, 05179028AE, 10525505BT, 10525515BT, 55350105AO, 55350105AP, 55350105AQ, 55350105AR, 55350105AT, 55350115AO, 55350115AP, 55350115AQ, 55350115AR, 55350115AT, 55350235AU, 55350235AV, 55350235AW, 55350235AX, 55350235AY, 55350435AZ, 55350435BA, 55350435BD, 55350435BE, 55350435BF, 55351105AT, 55351115AT, 55351235AU, 55351235AV, 55351235AW, 55351235AX, 55351235AY, 55351435AZ, 55351435BA, 55351435BD, 55351435BE, 55351435BF, 55351435BH",55350435BH,2007,DR,DR - RAM 1500 PICKUP,2,6.7L
3954,2007.5 DH 6.7L CUMMINS AUTO 50S 2500,ECM,,55350435BH,2007,,,0,6.7L
3955,2007.5 D1 6.7L CUMMINS MAN 50S 3500 DR - RAM 1500 PICKUP,ECM,"05179028AB, 05179028AC, 05179028AD, 05179028AE, 10525500BT, 10525510BT, 55350100AO, 55350100AP, 55350100AQ, 55350100AR, 55350100AT, 55350110AO, 55350110AP, 55350110AQ, 55350110AR, 55350110AT, 55350230AU, 55350230AV, 55350230AW, 55350230AX, 55350230AY, 55350430AZ, 55350430BA, 55350430BD, 55350430BE, 55350430BF, 55350430BH, 55351100AT, 55351110AT, 55351230AU, 55351230AV, 55351230AW, 55351230AX, 55351230AY, 55351430AZ, 55351430BA, 55351430BD, 55351430BE, 55351430BF",55351430BH,2007,DR,DR - RAM 1500 PICKUP,2,6.7L
3956,2007.5 D1 6.7L CUMMINS MAN 50S 3500,ECM,,55351430BH,2007,,,0,6.7L
3958,2007.5 D1 6.7L CUMMINS AUTO 50S 3500 DR - RAM 1500 PICKUP,ECM,"05179028AB, 05179028AC, 05179028AD, 05179028AE, 10525505BT, 10525515BT, 55350105AO, 55350105AP, 55350105AQ, 55350105AR, 55350105AT, 55350115AO, 55350115AP, 55350115AQ, 55350115AR, 55350115AT, 55350235AU, 55350235AV, 55350235AW, 55350235AX, 55350235AY, 55350435AZ, 55350435BA, 55350435BD, 55350435BE, 55350435BF, 55350435BH, 55351105AT, 55351115AT, 55351235AU, 55351235AV, 55351235AW, 55351235AX, 55351235AY, 55351435AZ, 55351435BA, 55351435BD, 55351435BE, 55351435BF",55351435BH,2007,DR,DR - RAM 1500 PICKUP,2,6.7L
3959,2007.5 D1 6.7L CUMMINS AUTO 50S 3500,ECM,,55351435BH,2007,,,0,6.7L
3960,2022 D2 6.7L PCM AISIN EURO V D2 - RAM 3500 PICKUP,PCM,"05158111EA, 55371261AA, 55371261AB, 68363277AB",55371261AC,2022,D2,D2 - RAM 3500 PICKUP,2,6.7L
3961,2001 AN/DN EATX4A AN - DAKOTA DN - DURANGO DN - DURANGO,TCM,"56028285AF, 56028285AG, 56028285AH",56028285AI,2001,"DN, AN","AN - DAKOTA, DN - DURANGO, DN - DURANGO",6,
3962,2002 DR 5.9L A4 FED DR - RAM 1500 PICKUP,PCM,"56028410AA, 56028410AB, 56028410AC, 56028410AD, 56028410AE, 56028410AF",56028410AG,2002,DR,DR - RAM 1500 PICKUP,2,5.9L
3963,2002 DR 5.9L A4 CAL DR - RAM 1500 PICKUP,PCM,"56028414AA, 56028414AB, 56028414AC, 56028414AD, 56028414AE, 56028414AF",56028414AG,2002,DR,DR - RAM 1500 PICKUP,2,5.9L
3964,2002 DR 5.9L A4 BUX DR - RAM 1500 PICKUP,PCM,"56028416AA, 56028416AB, 56028416AC, 56028416AD",56028416AE,2002,DR,DR - RAM 1500 PICKUP,2,5.9L
3965,2001 BR 3.9L M5 50 ST EARLY BUILD BR - REGULAR CAB PICK-UP,PCM,"05018491AA, 56028514AB",56028514AC,2001,BR,BR - REGULAR CAB PICK-UP,2,3.9L
3966,2001 BR 3.9L AUTO 50 ST EARLY BUILD,PCM,"05018491AA, 56028516AB, 56028516AC",56028516AD,2001,BR,,2,3.9L
3967,2001 BR/BE 5.2L M5 50 ST EARLY BUILD BE - QUAD & CLUB CAB PICK-UP,PCM,"05018491AA, 56028543AA, 56028543AB, 56028543AC",56028543AD,2001,BE,BE - QUAD & CLUB CAB PICK-UP,2,5.2L
3968,2001 BR/BE 5.2L A5 50 ST EARLY BUILD BE - QUAD & CLUB CAB PICK-UP,PCM,"05018491AA, 56028544AB, 56028544AC",56028544AD,2001,BE,BE - QUAD & CLUB CAB PICK-UP,2,5.2L
3970,2001 BR/BE 5.2L A4 CAL LEV EARLY BUILD BE - QUAD & CLUB CAB PICK-UP,PCM,"56028545AA, 56028545AB, 56028545AC",56028545AD,2001,BE,BE - QUAD & CLUB CAB PICK-UP,2,5.2L
3971,2001 BR/BE 5.9L M5 50 ST EARLY BUILD BE - QUAD & CLUB CAB PICK-UP,PCM,"05018491AA, 56028547AA, 56028547AB",56028547AC,2001,BE,BE - QUAD & CLUB CAB PICK-UP,2,5.9L
3972,2001 BR/BE 5.9L AUTO FED EARLY BUILD BE - QUAD & CLUB CAB PICK-UP,PCM,"05018491AA, 56028550AA, 56028550AB, 56028550AC",56028550AD,2001,BE,BE - QUAD & CLUB CAB PICK-UP,2,5.9L
3973,2001 BR/BE 5.9L AUTO CAL 1500 EARLY BUILD BE - QUAD & CLUB CAB PICK-UP,PCM,"05018491AA, 56028551AB, 56028551AC",56028551AD,2001,BE,BE - QUAD & CLUB CAB PICK-UP,2,5.9L
3974,2000 BR/BE 8.0L A4 CAL 2001 PULL AHEAD BE - QUAD & CLUB CAB PICK-UP,PCM,"05018493AA, 56028557AA, 56028557AB, 56028557AC",56028557AD,2000,BE,BE - QUAD & CLUB CAB PICK-UP,2,8.0L
3975,2000 AN84 5.9L A4 CAL AN - DAKOTA,PCM,"05018490AA, 56028559AA, 56028559AB, 56028559AC, 56040406AB, 56040406AC, 56040406AD",56028559AD,2000,AN,AN - DAKOTA,2,5.9L
3976,2001 AB 5.2L A4 AB - VAN/WAGON - FULL SIZE,PCM,"56028579AA, 56028579AB, 56028579AC, 56028579AD, 56028579AE",56028579AF,2001,AB,AB - VAN/WAGON - FULL SIZE,2,5.2L
3977,2001 AB 3.9L A3 2500 AB - VAN/WAGON - FULL SIZE,PCM,"56028592AA, 56028592AB, 56028592AC, 56028592AD",56028592AE,2001,AB,AB - VAN/WAGON - FULL SIZE,2,3.9L
3978,2002 AN 3.9L A4 BUX AN - DAKOTA,PCM,"56028671AA, 56028671AB",56028671AC,2002,AN,AN - DAKOTA,2,3.9L
3979,2003 AN 4.7 M5 FED CLUB CAB AN - DAKOTA,PCM,"56028716AA, 56028716AB, 56028716AC, 56028716AD, 56028716AE, 56028716AF, 56028716AG, 56028716AH",56028716AI,2003,AN,AN - DAKOTA,2,
3980,2003 AN 4.7 M5 BUX CLUB CAB AN - DAKOTA,PCM,"56028717AB, 56028717AC, 56028717AD, 56028717AE",56028717AF,2003,AN,AN - DAKOTA,2,
3981,2003 AN 3.9L A4 50S AN84 AND CLUB CAB AN - DAKOTA,PCM,"56028719AA, 56028719AB, 56028719AC",56028719AD,2003,AN,AN - DAKOTA,2,3.9L
3982,2003 DR 4.7L M5 FED 26 GAL DR - RAM 1500 PICKUP,PCM,"56028734AA, 56028734AB, 56028734AC, 56028734AD, 56028734AE, 56028734AF",56028734AG,2003,DR,DR - RAM 1500 PICKUP,2,4.7L
3983,2003 DR 4.7L M5 CAL 26 GAL DR - RAM 1500 PICKUP,PCM,"56028735AA, 56028735AB, 56028735AC, 56028735AD, 56028735AE, 56028735AF, 56028735AG",56028735AH,2003,DR,DR - RAM 1500 PICKUP,2,4.7L
3984,2003 DR 4.7L M5 BUX DR - RAM 1500 PICKUP,PCM,"56028736AA, 56028736AB, 56028736AC, 56028736AD, 56028736AE",56028736AF,2003,DR,DR - RAM 1500 PICKUP,2,4.7L
3985,2003 DR 4.7L A5 FED 26 GAL DR - RAM 1500 PICKUP,PCM,"56028737AA, 56028737AB, 56028737AC, 56028737AD, 56028737AE, 56028737AF",56028737AG,2003,DR,DR - RAM 1500 PICKUP,2,4.7L
3987,2003 DR 4.7L A5 CAL 26 GAL DR - RAM 1500 PICKUP,PCM,"56028738AA, 56028738AB, 56028738AC, 56028738AD, 56028738AE, 56028738AF, 56028738AG",56028738AH,2003,DR,DR - RAM 1500 PICKUP,2,4.7L
3988,2003 DR 4.7L A5 BUX DR - RAM 1500 PICKUP,PCM,"56028739AA, 56028739AB, 56028739AC, 56028739AD, 56028739AE",56028739AF,2003,DR,DR - RAM 1500 PICKUP,2,4.7L
3989,2003 DR 8.0L 48RE 50S DR - RAM 1500 PICKUP,PCM,"56028763AB, 56028763AC, 56028763AD",56028763AE,2003,DR,DR - RAM 1500 PICKUP,2,8.0L
3990,2003 DR 5.7L 2500/3500 M5 50S 34 GAL DR - RAM 1500 PICKUP,PCM,"56028768AA, 56028768AB, 56028768AC, 56028768AD, 56028768AE, 56028768AF, 56028768AG",56028768AH,2003,DR,DR - RAM 1500 PICKUP,2,5.7L
3991,2003 DR 5.7L 1500 A5 50S 26 GAL DR - RAM 1500 PICKUP,PCM,"56028769AA, 56028769AB, 56028769AC, 56028769AD, 56028769AE, 56028769AF",56028769AG,2003,DR,DR - RAM 1500 PICKUP,2,5.7L
3992,2003 DR 5.7L 1500 A5 BUX DR - RAM 1500 PICKUP,PCM,"56028771AA, 56028771AB, 56028771AC, 56028771AD, 56028771AE",56028771AF,2003,DR,DR - RAM 1500 PICKUP,2,5.7L
3993,2003 DR 5.7L 2500/3500 A5 BUX DR - RAM 1500 PICKUP,PCM,"56028772AA, 56028772AB, 56028772AC, 56028772AD, 56028772AE, 56028772AF",56028772AG,2003,DR,DR - RAM 1500 PICKUP,2,5.7L
3994,2003 DR 5.7L 2500/3500 A5 50S 34 GAL DR - RAM 1500 PICKUP,PCM,"56028773AA, 56028773AB, 56028773AC, 56028773AD, 56028773AE, 56028773AF, 56028773AG",56028773AH,2003,DR,DR - RAM 1500 PICKUP,2,5.7L
3995,2004 AN 3.7L M5 >6000 BUX AN - DAKOTA,PCM,"56028777AA, 56028777AB, 56028805AD",56028777AC,2004,AN,AN - DAKOTA,2,3.7L
3996,2004 DR 4.7L M5 1500 26 GAL DR - RAM 1500 PICKUP,PCM,"05094109AA, 56028778AA, 56028778AB, 56028778AC, 56028778AD, 56028778AE, 56028797AD",56028778AF,2004,DR,DR - RAM 1500 PICKUP,2,4.7L
3997,2004 AN 3.7L A4 BUX >6000 AN - DAKOTA,PCM,"56028779AA, 56028779AB, 56028779AC, 56028779AD, 56028779AE, 56028779AF, 56028806AD",56028779AG,2004,AN,AN - DAKOTA,2,3.7L
3998,2004 DR 5.7L A5 CAL 3500 35 GAL DR - RAM 1500 PICKUP,PCM,"05094274AA, 56028781AA, 56028781AB, 56028781AC, 56028781AD, 56028781AE, 56028781AF, 56028781AG, 56028781AH, 56028800AD",56028781AI,2004,DR,DR - RAM 1500 PICKUP,2,5.7L
3999,2004 DR 4.7L FFV AUTO FED 1500 26 GAL DR - RAM 1500 PICKUP,PCM,"56028782AA, 56028782AB, 56028782AC, 56028782AD, 56028782AE, 56028782AF, 56028796AD, 56028798AD",56028782AG,2004,DR,DR - RAM 1500 PICKUP,2,4.7L
4001,2004 DR 4.7L AUTO W/T244 TCASE50S 1500 26 GAL DR - RAM 1500 PICKUP,PCM,"56028783AD, 56028783AE, 56028783AF, 56028796AD, 56028798AD",56028783AG,2004,DR,DR - RAM 1500 PICKUP,2,4.7L
4002,2004 DR 4.7L AUTO 1500 BUX DR - RAM 1500 PICKUP,PCM,"56028784AD, 56028784AE, 56028796AD, 56028798AD",56028784AF,2004,DR,DR - RAM 1500 PICKUP,2,4.7L
4003,2004 DR 5.7L A5 CAL 3500 34 GAL DR - RAM 1500 PICKUP,PCM,"05094274AA, 56028785AA, 56028785AB, 56028785AC, 56028785AD, 56028785AE, 56028785AF, 56028785AG, 56028785AH, 56028800AD",56028785AI,2004,DR,DR - RAM 1500 PICKUP,2,5.7L
4004,2004 DR 5.7L AUTO W/244 CASE 50S 1500 35 GAL DR - RAM 1500 PICKUP,PCM,"05094274AA, 56028786AA, 56028786AB, 56028786AC, 56028786AD, 56028786AE, 56028786AF, 56028786AG, 56028786AH, 56028786AI, 56028800AD",56028786AJ,2004,DR,DR - RAM 1500 PICKUP,2,5.7L
4005,2004 DR 5.7L AUTO W/244 CASE 50S 1500 26 GAL DR - RAM 1500 PICKUP,PCM,"05094274AA, 56028787AA, 56028787AB, 56028787AC, 56028787AD, 56028787AE, 56028787AF, 56028787AG, 56028787AH, 56028787AI, 56028800AD",56028787AJ,2004,DR,DR - RAM 1500 PICKUP,2,5.7L
4006,2004 DR 5.7L AUTO W/244 CASE BUX 1500 DR - RAM 1500 PICKUP,PCM,"05094274AA, 56028788AA, 56028788AB, 56028788AC, 56028788AD, 56028788AE, 56028788AF, 56028788AG, 56028788AH, 56028788AI, 56028800AD",56028788AJ,2004,DR,DR - RAM 1500 PICKUP,2,5.7L
4007,2004 DR 3.7L A5 BUX DR - RAM 1500 PICKUP,PCM,"56028789AD, 56028789AE, 56028806AD",56028789AF,2004,DR,DR - RAM 1500 PICKUP,2,3.7L
4008,2004 DR 3.7L A5 50S 35 GAL DR - RAM 1500 PICKUP,PCM,"56028790AA, 56028790AB, 56028790AC, 56028790AD, 56028790AE, 56028790AF, 56028806AD",56028790AG,2004,DR,DR - RAM 1500 PICKUP,2,3.7L
4009,2004 DR 3.7L A5 50S 26 GAL DR - RAM 1500 PICKUP,PCM,"56028791AA, 56028791AB, 56028791AC, 56028791AD, 56028791AE, 56028791AF, 56028806AD",56028791AG,2004,DR,DR - RAM 1500 PICKUP,2,3.7L
4010,2004 DR 3.7L M5 50S 35 GAL DR - RAM 1500 PICKUP,PCM,"56028792AA, 56028792AB, 56028792AC, 56028792AD, 56028792AE, 56028805AD",56028792AF,2004,DR,DR - RAM 1500 PICKUP,2,3.7L
4011,2004 DR 3.7L M5 50S 26 GAL DR - RAM 1500 PICKUP,PCM,"56028793AA, 56028793AB, 56028793AC, 56028793AD, 56028793AE, 56028805AD",56028793AF,2004,DR,DR - RAM 1500 PICKUP,2,3.7L
4013,2004 DR 3.7L M5 BUX DR - RAM 1500 PICKUP,PCM,"56028794AC, 56028794AD, 56028805AD",56028794AE,2004,DR,DR - RAM 1500 PICKUP,2,3.7L
4014,2005 ND 3.7L MAN 50S 22 GAL ND - DAKOTA,PCM,"56028870AA, 56028870AB, 56028870AC, 56028870AD, 56028870AE, 56029077AB",56028870AF,2005,ND,ND - DAKOTA,2,3.7L
4015,2005 ND 3.7L MAN BUX ND - DAKOTA,PCM,"56028872AA, 56028872AB, 56028872AC, 56028872AD, 56028872AE, 56029077AB",56028872AF,2005,ND,ND - DAKOTA,2,3.7L
4016,2005 DH 5.7L AUTO FED 35 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028873AB, 56028873AC, 56028873AD, 56028873AE, 56028873AF, 56028873AG, 56028873AH, 56028930AA, 56028930AB",56028873AI,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4017,2005 DH 5.7L AUTO CAL 35 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028875AB, 56028875AC, 56028875AD, 56028875AE, 56028875AF, 56028875AG, 56028875AH, 56028930AA, 56028930AB",56028875AI,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4018,2005 DH 5.7L PWR WGN AUTO FED 35 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028876AB, 56028876AC, 56028876AD, 56028876AE, 56028876AF, 56028930AA, 56028930AB",56028876AG,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4019,2005 DH 5.7L PWR WGN AUTO CAL 35 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028883AB, 56028883AC, 56028883AD, 56028883AE, 56028883AF, 56028930AA, 56028930AB",56028883AG,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4020,2005 ND 3.7L AUTO 50S 22 GAL ND - DAKOTA,PCM,"56028884AA, 56028884AB, 56028884AD, 56028884AE, 56028884AF, 56028884AG, 56028884AH, 56028884AI, 56028884AJ, 56029078AB, 56029078AC",56028884AK,2005,ND,ND - DAKOTA,2,3.7L
4021,2005 DH 5.7L AUTO FED 34 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028885AB, 56028885AC, 56028885AD, 56028885AE, 56028885AF, 56028885AG, 56028885AH, 56028930AA, 56028930AB",56028885AI,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4022,2005 ND 3.7L AUTO BUX ND - DAKOTA,PCM,"56028886AA, 56028886AB, 56028886AC, 56028886AD, 56028886AE, 56028886AF, 56028886AG, 56028886AH, 56028886AI, 56028886AJ, 56029078AB, 56029078AC",56028886AK,2005,ND,ND - DAKOTA,2,3.7L
4024,2005 DH 5.7L AUTO CAL 34 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028887AB, 56028887AC, 56028887AD, 56028887AE, 56028887AF, 56028887AG, 56028887AH, 56028930AA, 56028930AB",56028887AI,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4025,2005 DH 5.7L PWR WGN AUTO FED 34 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028888AB, 56028888AC, 56028888AD, 56028888AE, 56028888AF, 56028930AA, 56028930AB",56028888AG,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4026,2005 DH 5.7L PWR WGN AUTO CAL 34 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028889AB, 56028889AC, 56028889AD, 56028889AE, 56028889AF, 56028930AA, 56028930AB",56028889AG,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4027,2005 DH 5.7L AUTO BUX NSC DR - RAM 1500 PICKUP,PCM,"56028890AB, 56028890AC, 56028890AD, 56028890AE, 56028890AF, 56028890AG, 56028890AH, 56028930AA, 56028930AB",56028890AI,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4028,2005 DR 3.7L AUTO 50S 35 GAL DR - RAM 1500 PICKUP,PCM,"56028881AA, 56028881AB, 56028891AA, 56028891AB, 56028891AC, 56028891AD, 56028891AE, 56028891AF",56028891AG,2005,DR,DR - RAM 1500 PICKUP,2,3.7L
4029,2005 DR 3.7L AUTO BUX DR - RAM 1500 PICKUP,PCM,"56028881AA, 56028881AB, 56028896AC",56028896AD,2005,DR,DR - RAM 1500 PICKUP,2,3.7L
4030,2005 HB 3.7L 50S HB - DURANGO,PCM,"56028897AA, 56028897AB, 56028897AC, 56028897AD, 56028897AE, 56028897AF, 56028897AG, 56029078AC",56028897AH,2005,HB,HB - DURANGO,2,3.7L
4031,2000 DN 5.2L A4 FED DN - DURANGO,PCM,"05018490AA, 56028900AA, 56028900AB, 56028900AC, 56028900AD, 56028900AE, 56028900AF",56028900AG,2000,DN,DN - DURANGO,2,5.2L
4032,2000 DN 5.2L A4 CAL DN - DURANGO,PCM,"05018490AA, 56028901AA, 56028901AB, 56028901AC, 56028901AD, 56028901AE, 56028901AF",56028901AG,2000,DN,DN - DURANGO,2,5.2L
4033,2005 DR 3.7L AUTO 50S 26 GAL DR - RAM 1500 PICKUP,PCM,"56028881AA, 56028881AB, 56028903AA, 56028903AB, 56028903AC, 56028903AD, 56028903AE, 56028903AF",56028903AG,2005,DR,DR - RAM 1500 PICKUP,2,3.7L
4034,2005 DR 3.7L AUTO 50S 34 GAL DR - RAM 1500 PICKUP,PCM,"56028881AA, 56028881AB, 56028904AA, 56028904AB, 56028904AC, 56028904AD, 56028904AE, 56028904AF",56028904AG,2005,DR,DR - RAM 1500 PICKUP,2,3.7L
4036,2005 ND 4.7L MAN 50S 22 GAL ND - DAKOTA,PCM,"56028919AA, 56028919AB, 56028919AC, 56028919AD, 56028919AE, 56029079AC, 56029079AD, 56029081AB",56028919AF,2005,ND,ND - DAKOTA,2,4.7L
4037,2005 ND 4.7L MAN BUX ND - DAKOTA,PCM,"56028921AA, 56028921AB, 56028921AC, 56028921AD, 56028921AE, 56029079AC, 56029079AD, 56029081AB",56028921AF,2005,ND,ND - DAKOTA,2,4.7L
4038,2005 DR 4.7L M6 50S 35 GAL DR - RAM 1500 PICKUP,PCM,"56028926AA, 56028926AB, 56028926AC, 56028926AD, 56028926AE, 56029079AD",56028926AF,2005,DR,DR - RAM 1500 PICKUP,2,4.7L
4039,2005 DH 5.7L PWR WGN MAN 50S 34 GAL DR - RAM 1500 PICKUP,PCM,"56028878AA, 56028878AB, 56028927AA, 56028927AB, 56028927AC, 56028927AD, 56028927AE",56028927AF,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4040,2005 DH 5.7L PWR WGN MAN 50S 34 GAL NSC DR - RAM 1500 PICKUP,PCM,"56028878AA, 56028878AB, 56028928AA, 56028928AB, 56028928AC, 56028928AD, 56028928AE",56028928AF,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
4041,2005 DR 4.7L M6 50S 26 GAL DR - RAM 1500 PICKUP,PCM,"56028929AA, 56028929AB, 56028929AC, 56028929AD, 56028929AE, 56029079AD",56028929AF,2005,DR,DR - RAM 1500 PICKUP,2,4.7L
4042,2005 ND 4.7L HO A5 50S 2WD 22 GAL ND - DAKOTA,PCM,"56028932AA, 56028932AB, 56028932AC, 56028932AD, 56028932AE, 56028932AF, 56029080AB, 56029080AC, 56029082AB",56028932AG,2005,ND,ND - DAKOTA,2,4.7L
4043,2005 ND 4.7L HO A5 50S 4WD 22 GAL ND - DAKOTA,PCM,"56028933AA, 56028933AB, 56028933AC, 56028933AD, 56028933AE, 56028933AF, 56029080AB, 56029080AC, 56029082AB",56028933AG,2005,ND,ND - DAKOTA,2,4.7L
4044,2005 ND 4.7L AUTO 50S 22 GAL ND - DAKOTA,PCM,"56028934AA, 56028934AB, 56028934AC, 56028934AD, 56028934AE, 56028934AF, 56028934AG, 56028934AH, 56029080AB, 56029080AC, 56029082AB",56028934AI,2005,ND,ND - DAKOTA,2,4.7L
4045,2005 ND 4.7L AUTO PART TIME 4X4 50S 22 GAL ND - DAKOTA,PCM,"56028935AA, 56028935AB, 56028935AC, 56028935AD, 56028935AE, 56028935AF, 56028935AG, 56028935AH, 56029080AB, 56029080AC, 56029082AB",56028935AI,2005,ND,ND - DAKOTA,2,4.7L
4047,2005 ND 4.7L AUTO BUX ND - DAKOTA,PCM,"56028936AA, 56028936AB, 56028936AC, 56028936AD, 56028936AE, 56028936AF, 56028936AG, 56028936AH, 56029080AB, 56029080AC, 56029082AB",56028936AI,2005,ND,ND - DAKOTA,2,4.7L
4048,2005 DR 4.7L AUTO FED/FFV 35 GAL DR - RAM 1500 PICKUP,PCM,"56028892AC, 56028895AA, 56028940AA, 56028940AB, 56028940AC, 56028940AD, 56028940AE, 56028940AF",56028940AG,2005,DR,DR - RAM 1500 PICKUP,2,4.7L
4049,2005 DR 4.7L AUTO W/O 244 T-CASE 50S 35 GAL DR - RAM 1500 PICKUP,PCM,"56028892AC, 56028895AA, 56028941AA, 56028941AB, 56028941AC, 56028941AD, 56028941AE, 56028941AF",56028941AG,2005,DR,DR - RAM 1500 PICKUP,2,4.7L
4050,2005 DR 4.7L AUTO W/O 244 T-CASE 50S 26 GAL DR - RAM 1500 PICKUP,PCM,"56028892AC, 56028895AA, 56028942AA, 56028942AB, 56028942AC, 56028942AD, 56028942AE, 56028942AF",56028942AG,2005,DR,DR - RAM 1500 PICKUP,2,4.7L
4051,2005 DR 4.7L AUTO FED/FFV 26 GAL DR - RAM 1500 PICKUP,PCM,"56028892AC, 56028895AA, 56028943AA, 56028943AB, 56028943AC, 56028943AD, 56028943AE, 56028943AF",56028943AG,2005,DR,DR - RAM 1500 PICKUP,2,4.7L
4052,2005 HB 4.7L 45S 2WD HB - DURANGO,PCM,"56028946AA, 56028946AB, 56028946AC, 56028946AD, 56028946AE, 56029080AC, 56029082AB",56028946AF,2005,HB,HB - DURANGO,2,4.7L
4053,2005 HB 4.7L 5S 2WD HB - DURANGO,PCM,"56028947AA, 56028947AB, 56028947AC, 56028947AD, 56028947AE, 56028947AF, 56029080AC, 56029082AB",56028947AG,2005,HB,HB - DURANGO,2,4.7L
4054,2005 HB 4.7L BUX 2WD HB - DURANGO,PCM,"56028948AA, 56028948AB, 56028948AC, 56028948AD, 56028948AE, 56029080AC, 56029082AB",56028948AF,2005,HB,HB - DURANGO,2,4.7L
4055,2005 HB 4.7L 45S 4WD HB - DURANGO,PCM,"56028949AA, 56028949AB, 56028949AC, 56028949AD, 56028949AE, 56029080AC, 56029082AB",56028949AF,2005,HB,HB - DURANGO,2,4.7L
4056,2005 HB 4.7L 5S 4WD HB - DURANGO,PCM,"56028950AA, 56028950AB, 56028950AC, 56028950AD, 56028950AE, 56028950AF, 56029080AC, 56029082AB",56028950AG,2005,HB,HB - DURANGO,2,4.7L
4058,2005 HB 4.7L BUX 4WD HB - DURANGO,PCM,"56028951AA, 56028951AB, 56028951AC, 56028951AD, 56028951AE, 56029080AC, 56029082AB",56028951AF,2005,HB,HB - DURANGO,2,4.7L
4059,2005 DR 5.7L AUTO W/O 244 T-CASE 50S 35 GAL DR - RAM 1500 PICKUP,PCM,"56028930AA, 56028930AB, 56028955AA, 56028955AB, 56028955AC, 56028955AD, 56028955AE, 56028955AF, 56028955AG, 56028955AH",56028955AI,2005,DR,DR - RAM 1500 PICKUP,2,5.7L
